ID,Mobility and transportation,Imagery and GIS,Climate and environment,History and epistemology,Sustainability risk planning,Economic geography,Development territory system of cities,Urban dynamics,Statistics and modeling,Emotional geography
2925,0,0,0,0.25,0,0,0,0.5,0,0.25
2954,0,0,0,0,0,0,1,0,0,0
2966,0,0,0,1,0,0,0,0,0,0
2978,0.25,0,0,0,0,0,0.25,0,0.5,0
3115,0,0.5,0,0.125,0.125,0,0,0.125,0.125,0
2991,0,0,0,0,0.25,0,0,0,0.5,0.25
3000,0,0.1666666667,0,0,0,0.1666666667,0,0.6666666667,0,0
3013,0,0,0,0.8,0.2,0,0,0,0,0
3027,0,0.8,0,0,0,0,0,0,0.2,0
3144,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
3184,0,0.1428571429,0,0.1428571429,0.1428571429,0,0.4285714286,0.1428571429,0,0
3045,0,0.4,0,0.2,0,0,0.2,0.2,0,0
3046,0,0.1666666667,0,0.3333333333,0,0,0.5,0,0,0
24931,0.25,0,0,0,0,0,0,0.75,0,0
3067,0,0.1666666667,0.1666666667,0,0.1666666667,0,0.5,0,0,0
3081,0,0,0.125,0.125,0.75,0,0,0,0,0
7149,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
4513,0.25,0.25,0,0,0,0,0.25,0,0.25,0
3132,0,0.3333333333,0.3333333333,0,0,0,0,0.3333333333,0,0
5484,0,0,0,0.6,0.2,0,0.2,0,0,0
5493,0,0,0,0.8333333333,0,0,0.1666666667,0,0,0
5497,0,0.25,0,0.5,0,0,0,0,0.25,0
3200,0,0,0,0.3333333333,0,0,0.3333333333,0,0.3333333333,0
3207,0,0,0,0,0,0,0.6666666667,0,0,0.3333333333
3219,0,0.4,0.2,0,0,0,0,0,0.4,0
24606,0,0,0,0,0,0,0.2857142857,0,0.7142857143,0
3338,0,0,1,0,0,0,0,0,0,0
3230,0,0.2,0,0,0,0,0.6,0,0,0.2
3238,0,0,0,0,0,0,0.8333333333,0.1666666667,0,0
3275,0,0.2,0,0.2,0,0,0,0.2,0.4,0
3257,0,0,0,0.2,0.2,0,0,0.6,0,0
3280,0,0.7,0,0.1,0,0,0.1,0,0.1,0
3273,0.2,0.2,0,0,0.2,0,0,0,0.4,0
18082,0,0.7142857143,0.1428571429,0,0,0,0,0,0.1428571429,0
3298,0,0.4,0.2,0.4,0,0,0,0,0,0
3316,0,0,0,0,0,0,0,0,0.6666666667,0.3333333333
3401,0,0,0,0.6666666667,0,0,0,0.3333333333,0,0
3365,0,0,0,0.2,0.2,0,0.4,0,0,0.2
3389,0,0,0,0,0.25,0,0.5,0,0,0.25
3352,0,0.4,0.2,0,0,0,0.2,0,0.2,0
3376,0,0,0,0,0,0.2,0.4,0,0.4,0
3458,0,0,0,0,0,0,0,0,1,0
3472,0,0.25,0,0,0,0,0.25,0,0.5,0
3481,0,0,0,0.2,0,0,0,0,0.8,0
3491,0,0,0,0,0,0,0,0.6666666667,0.3333333333,0
3425,0.1666666667,0.5,0,0,0,0,0.1666666667,0,0.1666666667,0
3426,0,0,0,0.8571428571,0,0,0,0,0.1428571429,0
3520,0,0.1666666667,0,0.8333333333,0,0,0,0,0,0
4840,0,0,0,0,0.5,0,0.5,0,0,0
4839,0,0.2,0,0.4,0,0.2,0.2,0,0,0
4894,0,0.1666666667,0,0,0,0.1666666667,0,0.3333333333,0.3333333333,0
3536,0,0,0,0,0.3333333333,0,0,0.6666666667,0,0
3583,0.25,0.25,0.25,0,0,0,0.25,0,0,0
3627,0,0.1428571429,0,0.1428571429,0,0.1428571429,0.5714285714,0,0,0
3634,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
4219,0,0,0,0.1666666667,0,0.1666666667,0.3333333333,0,0.3333333333,0
3616,0,1,0,0,0,0,0,0,0,0
3617,0,0.75,0,0,0,0,0,0,0.25,0
4179,0,0,0,0,0,0,0,0,1,0
4141,0,0,0.5,0,0,0,0.5,0,0,0
3552,0,0.1111111111,0.2222222222,0,0.3333333333,0,0.2222222222,0.1111111111,0,0
3570,0,0.5,0,0,0,0,0,0,0.5,0
4288,0,0.2222222222,0,0.3333333333,0,0,0,0,0.4444444444,0
4289,0,0.6,0,0.2,0.2,0,0,0,0,0
4304,0.2857142857,0.2857142857,0,0,0,0.1428571429,0,0.2857142857,0,0
4328,0,0.2,0,0.6,0,0,0.2,0,0,0
4323,0,0.4,0,0,0,0,0.6,0,0,0
4325,0,0,0,1,0,0,0,0,0,0
4349,0.2,0.6,0,0,0,0,0.2,0,0,0
4357,0.2,0,0,0,0,0,0,0,0.8,0
24779,0,0,0,0,0.1666666667,0,0,0,0.8333333333,0
24787,0,0,0,0,0,0,0,0.3333333333,0.6666666667,0
4375,0,0.1,0.1,0.5,0.1,0.2,0,0,0,0
4397,0,0,0,0.2,0,0,0.8,0,0,0
4405,0,0.6666666667,0,0.3333333333,0,0,0,0,0,0
4460,0,0,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0
4467,0.4285714286,0,0,0,0,0,0.4285714286,0,0,0.1428571429
24816,0,0,0,0,0,0,0,0,1,0
4478,0.5,0.25,0,0,0,0,0.25,0,0,0
4805,0,0.6666666667,0,0,0,0,0.3333333333,0,0,0
4845,0,0,0,0,0.8,0,0.2,0,0,0
4856,0.2,0,0,0,0,0,0,0.6,0.2,0
4870,0.2,0,0.2,0,0,0.6,0,0,0,0
4882,0.1111111111,0,0,0,0,0,0,0.7777777778,0,0.1111111111
25520,0,0.5,0,0,0,0,0,0.5,0,0
4895,0,0,0,0,0,1,0,0,0,0
4912,0,0.6666666667,0.3333333333,0,0,0,0,0,0,0
4917,0,0.25,0,0,0,0,0.25,0,0.5,0
4925,0,0,0,1,0,0,0,0,0,0
4930,0,0,0,0,0,0.25,0,0.25,0.5,0
4963,0,0,0,0,0,0,0,0,1,0
5227,0,0.5,0,0.25,0,0,0,0,0.25,0
4970,0,0,0,0,0.5,0,0.25,0.25,0,0
5006,0,0,0.6666666667,0.1666666667,0.1666666667,0,0,0,0,0
4994,0,0,0,0,0.2,0.2,0,0,0.6,0
5055,0,0,0,0.25,0,0,0.25,0,0.25,0.25
5064,0,0,0,1,0,0,0,0,0,0
5069,0,0.75,0,0.25,0,0,0,0,0,0
5088,0.25,0.25,0,0,0,0,0,0,0.5,0
5101,0.1666666667,0,0,0.1666666667,0,0,0,0,0.6666666667,0
5111,0,0.1666666667,0,0,0.1666666667,0,0,0,0.6666666667,0
5050,0,0.5,0,0,0,0,0,0,0.5,0
5034,0,0.75,0,0.25,0,0,0,0,0,0
5043,0,0.5714285714,0,0,0,0,0,0.1428571429,0.2857142857,0
5125,0.3333333333,0,0,0,0.3333333333,0,0,0,0.3333333333,0
5128,0.75,0,0,0,0,0,0,0,0.25,0
5131,0,0.1666666667,0,0.3333333333,0,0,0,0,0.5,0
5145,0,0.75,0,0.25,0,0,0,0,0,0
5156,0.3333333333,0.6666666667,0,0,0,0,0,0,0,0
5163,0,0.6,0,0,0,0,0,0,0.4,0
5172,0.6,0,0,0,0,0,0,0,0.4,0
5187,0.5,0,0,0.5,0,0,0,0,0,0
5234,0,0.25,0,0.5,0,0,0,0,0.25,0
5247,0,0.6666666667,0,0,0,0,0,0,0,0.3333333333
5251,0,0.3333333333,0,0,0,0.3333333333,0,0.3333333333,0,0
5257,0,0,0,1,0,0,0,0,0,0
5265,0,0.8,0,0,0,0,0,0,0.2,0
5277,0,0,0,0,0,0,0.3333333333,0.6666666667,0,0
5826,0,0,0,0,0,0,0,0.6,0.4,0
5315,0,0,0,1,0,0,0,0,0,0
5316,0,0,0,0.1428571429,0,0,0,0,0,0.8571428571
5332,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
5342,0,0.3333333333,0,0.6666666667,0,0,0,0,0,0
5432,0,0,0,0.25,0,0,0.25,0.25,0.25,0
5431,0,0.25,0,0.5,0,0,0,0,0.25,0
5387,0,0.2,0,0.2,0.2,0,0,0.4,0,0
5394,0,0,0,1,0,0,0,0,0,0
5399,0,0,0,1,0,0,0,0,0,0
5416,0,0,0,1,0,0,0,0,0,0
5417,0,0.2,0,0.6,0,0,0,0,0,0.2
5439,0,0,0,0,0.125,0.125,0.125,0.625,0,0
5532,0.5,0.25,0,0,0,0,0,0.125,0.125,0
5565,0.4,0,0,0,0,0.6,0,0,0,0
5554,0,0,0,0,0,0,0,0,1,0
5574,0.375,0,0,0,0,0.625,0,0,0,0
17762,0.6666666667,0,0,0,0,0,0,0.1666666667,0,0.1666666667
5591,0,0,0,0.3333333333,0,0.6666666667,0,0,0,0
5607,0.1428571429,0,0,0,0,0,0,0.1428571429,0.7142857143,0
5615,0,0,0,0.3333333333,0,0,0.1666666667,0.1666666667,0.3333333333,0
6407,0,0.5,0,0,0,0,0,0,0.5,0
6498,0,0,0,1,0,0,0,0,0,0
5633,0,0.25,0,0.5,0,0,0.25,0,0,0
15973,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,0,0
6225,0,0,0,0,0,0,0,1,0,0
7492,0,0,0,0,0,0.2857142857,0,0.5714285714,0,0.1428571429
7722,0,0.6666666667,0.1666666667,0,0.1666666667,0,0,0,0,0
7872,0,0.3333333333,0,0,0,0.5,0.1666666667,0,0,0
8002,0,0.8,0,0,0,0,0,0,0.2,0
8142,0,0,0,0,0.4,0,0.4,0.2,0,0
8212,0,0.75,0,0,0,0,0,0,0.25,0
8322,0,0.5,0,0,0.1666666667,0,0,0,0.3333333333,0
8462,0,0.4,0,0,0,0,0,0,0.6,0
12581,0,0.25,0,0.25,0,0,0,0.25,0,0.25
8692,0,0,0,0,0,0,0,0,1,0
8902,0,0,0,0,0.3333333333,0,0,0.3333333333,0.3333333333,0
8962,0,0,0,0,0,0,0.25,0.25,0.5,0
9052,0,0,0,0,0,0,0,0,1,0
9262,0.3333333333,0.1666666667,0.1666666667,0,0.1666666667,0,0,0,0.1666666667,0
9272,0,1,0,0,0,0,0,0,0,0
22341,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0
22347,0,0,0,0,0.5,0.5,0,0,0,0
11203,0,0,0,0,0.1111111111,0,0,0,0.8888888889,0
11373,1,0,0,0,0,0,0,0,0,0
10182,0,0,0,0.2,0,0,0,0.6,0.2,0
24601,0,0,0,0.2,0,0,0,0.6,0.2,0
11133,0,0,0,0,0.5,0,0,0.1666666667,0.3333333333,0
10993,0.3333333333,0,0,0,0,0,0,0.3333333333,0.3333333333,0
10913,0,0,0.1666666667,0,0.5,0,0.3333333333,0,0,0
10461,0.1666666667,0.6666666667,0,0,0,0,0,0,0.1666666667,0
10451,0.2,0.4,0,0,0.2,0,0.2,0,0,0
11113,0,0,0,0.2857142857,0,0.2857142857,0.1428571429,0,0.2857142857,0
11882,0,0,0,0,0.5,0,0,0.25,0.25,0
12443,0,0,1,0,0,0,0,0,0,0
12283,0.2,0,0,0.2,0,0,0.2,0.4,0,0
12556,0,1,0,0,0,0,0,0,0,0
12803,0,0.6,0,0,0,0,0,0,0.4,0
13033,0,0.25,0,0.75,0,0,0,0,0,0
13863,0,0,0,0,0,0.75,0.25,0,0,0
14173,0,0,0,0.2,0,0,0,0,0.8,0
15463,0,0.125,0,0.875,0,0,0,0,0,0
21253,0,0,0,0.5,0,0,0.25,0.25,0,0
16103,0.3333333333,0,0.1666666667,0,0,0,0,0,0.5,0
16283,0.25,0.5,0,0,0,0,0,0,0.25,0
16732,0,0,0,1,0,0,0,0,0,0
16443,0,0.4,0,0,0,0,0,0.6,0,0
16793,0,0,0,0,0,0,0,0,0,1
16823,0.1,0.6,0,0.2,0,0,0,0,0.1,0
17203,0,0.1428571429,0.1428571429,0,0.5714285714,0,0.1428571429,0,0,0
17332,0.3333333333,0,0,0.1666666667,0,0,0.3333333333,0.1666666667,0,0
17502,0,0.1111111111,0,0.4444444444,0,0,0,0.2222222222,0.2222222222,0
