"","Authoring","Studied","N","c1","X_A","Y_A","c2","X_S","Y_S"
"41.218","CH","UK",1,"CH",8.21011553875218,46.7903177203335,"UK",-2.49101280471062,53.927081866194
"159.218","NO","UK",1,"NO",14.0456175437801,64.246082695081,"UK",-2.49101280471062,53.927081866194
"182.218","RU","UK",1,"RU",99.1595613921392,61.6595873942864,"UK",-2.49101280471062,53.927081866194
"252.218","FR","UK",24,"FR",2.46155981462731,46.6177606162003,"UK",-2.49101280471062,53.927081866194
"36.220","CA","US",3,"CA",-102.515470389785,58.0403749386076,"US",-99.4425594967709,39.3961009899639
"219.220","UK","US",1,"UK",-2.49101280471062,53.927081866194,"US",-99.4425594967709,39.3961009899639
"252.220","FR","US",20,"FR",2.46155981462731,46.6177606162003,"US",-99.4425594967709,39.3961009899639
"252.222","FR","UZ",3,"FR",2.46155981462731,46.6177606162003,"UZ",63.2617302343882,41.6804708044897
"252.225","FR","VE",2,"FR",2.46155981462731,46.6177606162003,"VE",-66.1576114116323,7.1233798014189
"14.228","AU","VN",1,"AU",134.341827626603,-25.583713049114,"VN",106.305399900114,16.6824465295947
"36.228","CA","VN",2,"CA",-102.515470389785,58.0403749386076,"VN",106.305399900114,16.6824465295947
"169.228","PH","VN",1,"PH",121.416802504013,15.9578185163233,"VN",106.305399900114,16.6824465295947
"252.228","FR","VN",3,"FR",2.46155981462731,46.6177606162003,"VN",106.305399900114,16.6824465295947
"41.247","CH","YE",1,"CH",8.21011553875218,46.7903177203335,"YE",47.5579021728366,15.9398297089006
"219.247","UK","YE",1,"UK",-2.49101280471062,53.927081866194,"YE",47.5579021728366,15.9398297089006
"252.247","FR","YE",1,"FR",2.46155981462731,46.6177606162003,"YE",47.5579021728366,15.9398297089006
"221.248","US","ZA",1,"US",-99.4425594967709,39.3961009899639,"ZA",25.1542910719724,-29.0224339489216
"252.248","FR","ZA",7,"FR",2.46155981462731,46.6177606162003,"ZA",25.1542910719724,-29.0224339489216
"252.249","FR","ZM",2,"FR",2.46155981462731,46.6177606162003,"ZM",27.796648794161,-13.4607580854313
"252.250","FR","ZW",1,"FR",2.46155981462731,46.6177606162003,"ZW",29.8676193647445,-19.0131535800306
"13.251","AT","FR",1,"AT",14.1551928218431,47.5829011604224,"FR",2.46155981462731,46.6177606162003
"14.251","AU","FR",1,"AU",134.341827626603,-25.583713049114,"FR",2.46155981462731,46.6177606162003
"20.251","BE","FR",1,"BE",4.67174670598386,50.638844213958,"FR",2.46155981462731,46.6177606162003
"29.251","BR","FR",1,"BR",-53.0859245197612,-10.7827319991918,"FR",2.46155981462731,46.6177606162003
"36.251","CA","FR",7,"CA",-102.515470389785,58.0403749386076,"FR",2.46155981462731,46.6177606162003
"41.251","CH","FR",4,"CH",8.21011553875218,46.7903177203335,"FR",2.46155981462731,46.6177606162003
"55.251","DE","FR",1,"DE",10.3928249975919,51.0799046830685,"FR",2.46155981462731,46.6177606162003
"67.251","ES","FR",2,"ES",-3.5535195957135,40.3911571272071,"FR",2.46155981462731,46.6177606162003
"89.251","HK","FR",1,"HK",114.167852026694,22.4173066894594,"FR",2.46155981462731,46.6177606162003
"104.251","IT","FR",1,"IT",12.1937131196928,43.4984602325633,"FR",2.46155981462731,46.6177606162003
"128.251","LU","FR",1,"LU",6.10943333054036,49.7823577636279,"FR",2.46155981462731,46.6177606162003
"149.251","MX","FR",1,"MX",-102.51454773385,23.9336005495849,"FR",2.46155981462731,46.6177606162003
"158.251","NL","FR",1,"NL",5.63652078392282,52.2720777321218,"FR",2.46155981462731,46.6177606162003
"159.251","NO","FR",1,"NO",14.0456175437801,64.246082695081,"FR",2.46155981462731,46.6177606162003
"176.251","PT","FR",1,"PT",-7.97070525588486,39.6482450309746,"FR",2.46155981462731,46.6177606162003
"182.251","RU","FR",1,"RU",99.1595613921392,61.6595873942864,"FR",2.46155981462731,46.6177606162003
"211.251","TN","FR",1,"TN",9.58109276662665,34.1230139285085,"FR",2.46155981462731,46.6177606162003
"219.251","UK","FR",5,"UK",-2.49101280471062,53.927081866194,"FR",2.46155981462731,46.6177606162003
"221.251","US","FR",1,"US",-99.4425594967709,39.3961009899639,"FR",2.46155981462731,46.6177606162003
"252.255","FR","SD",2,"FR",2.46155981462731,46.6177606162003,"SD",29.9672890576412,16.0123324621766
