""	"0"	"0"
"600866168164325393"	"2"	"18"
"8234506758814348085"	"1"	"1"
"14333755945056675914"	"2"	"1"
"5694756131468578291"	"1"	"10"
"14216263611691786986"	"28"	"40"
"9869628494247847080"	"0"	"0"
"15414418585951512000"	"0"	"3"
"1115794669108577338"	"4"	"7"
"11404432311337100930"	"3"	"4"
"4189210914155528399"	"4"	"0"
"10533050216933093708"	"31"	"13"
"16239868459474805817"	"0"	"2"
"1097122499403586652"	"8"	"10"
"17119000433850090312"	"2"	"0"
"9143876510912485044"	"0"	"7"
"4838796485771518729"	"4"	"1"
"11364106259946366162"	"1"	"3"
"10928771149826054783"	"0"	"9"
"9580935810352389062"	"0"	"0"
"8867241032827260133"	"15"	"14"
"15637015246398431303"	"0"	"0"
"14617360143901011960"	"0"	"11"
"6099100937901000125"	"6"	"12"
"11462201490072276160"	"2"	"1"
"13768976646893656040"	"0"	"0"
"10525859623497775612"	"4"	"7"
"3010631107314795450"	"3"	"1"
"4147316326371725738"	"1"	"8"
"15407204464231071686"	"1"	"4"
"3154035227628535457"	"4"	"24"
"14496893494338490424"	"3"	"6"
"5035349679182410681"	"14"	"20"
"5669502243970561965"	"5"	"3"
"11176148863934252420"	"2"	"6"
"10163691828183545996"	"0"	"0"
"5394053853286382496"	"4"	"4"
"5469876208725068439"	"1"	"2"
"682983692486472138"	"0"	"0"
"4380710881689775640"	"9"	"37"
"10857086084026744957"	"1"	"3"
"1291863581341518928"	"6"	"12"
"6371927218075563247"	"1"	"15"
"2519835378801857692"	"0"	"1"
"16103845066458186172"	"9"	"0"
"4095901814035540958"	"0"	"0"
"14966613736473251829"	"0"	"0"
"1314085124572609004"	"0"	"0"
"18033955287987500080"	"23"	"4"
"3801245627317842925"	"5"	"15"
"4343051185325086504"	"7"	"0"
"17731127396440963477"	"11"	"11"
"7794779846879981521"	"0"	"0"
"15145909352471637153"	"0"	"27"
"4157190210681869695"	"0"	"0"
"16779965711698057770"	"0"	"14"
"17550878475242974900"	"0"	"0"
"10650192400292721725"	"3"	"2"
"10030087423435382196"	"5"	"8"
"8954984084845799585"	"0"	"4"
"8836214754636785157"	"0"	"29"
"6101144771790953218"	"9"	"17"
"14743675914846933353"	"3"	"30"
"4360750368511851729"	"1"	"18"
"4166610093719884556"	"0"	"0"
"8809117434454370081"	"3"	"0"
"6764896077268036453"	"1"	"3"
"8516210840454050119"	"0"	"4"
"11560201488980627559"	"40"	"19"
"2638754731186220301"	"5"	"0"
"11789917488390849702"	"2"	"20"
"1748156521018631671"	"0"	"0"
"9088022647826696653"	"0"	"0"
"7218568370435585179"	"0"	"0"
"17741665955615893602"	"4"	"8"
"2941939649222970387"	"1"	"2"
"8908082973676945930"	"5"	"0"
"10395990831169684398"	"0"	"9"
"14020460178108510693"	"11"	"17"
"17296586076264187026"	"0"	"22"
"15677838157539969624"	"4"	"2"
"15803454302107023131"	"1"	"0"
